SNO,DISTRICT,BLOCK NAME,SCHOOL NAME,SCHOOL ADDRESS,PINCODE,
97,ARIYALUR,Ariyalur,PUMS OTTAKKOVIL,KALLANKURICHI (VIA) OTTAKKOVIL ARIYALUR TK,621705,
98,ARIYALUR,Ariyalur,PUMS P OTTAKKOVIL,PUMS P OTTAKOVIL AMBAPUR VIA PUNGANGUZHI POSTARIYALUR DISTRICT,621701,
,,,,,,
SNO,DISTRICT,BLOCK NAME,SCHOOL NAME,SCHOOL ADDRESS,PINCODE,
99,ARIYALUR,Ariyalur,PUMS PALLAKRISHNAPURAM,PUMS  PALLAKRISHNAPURAMMAL SUBRAYAPURAM(PO),621704,
100,ARIYALUR,Ariyalur,PUMS PUTHUPALAYAM,siruvalur (p.o)Ariyalur,621704,
101,ARIYALUR,Ariyalur,PUMS SENNIVANAM,PANCHAYAT UNION MIDDLE SCHOOLSENNIVANAM,621718,
102,ARIYALUR,Ariyalur,PUMS VALAJA NAGARAM,JAYANKONDAM MAIN ROADARIYALUR TALUK & DISTRICT,621704,
103,ARIYALUR,Ariyalur,PUMS VELIPRINKIUM,VeliperingiyamPeriyathirukokkonam (tk)Ariyalur,621701,
104,ARIYALUR,Ariyalur,RC NIRMALA GANDHI MIDDLE SCHOOL ARIYALUR,RAJAJI NAGARARIYALUR,621713,
105,ARIYALUR,Ariyalur,S K V P KOIL GIRLS HIGH SCHOOL KALLANKURICHI,sri kaliyuga varadharaja perumal koil girls high school kallankurichi Ariyalur Tk&Dt,621705,
106,ARIYALUR,Ariyalur,SABARMATHI VIDHYALAYA PUBLIC SCHOOL ARIYALUR,kollapurameruthukaranpatti,621713,
107,ARIYALUR,Ariyalur,SRI RAMAKRISHANA PUBLIC SCHOOL VENKATAKRISHNAPURAM,SRI RAMAKRISHNA ARIYALURvenkatakrishnapuram,621704,
108,ARIYALUR,Ariyalur,ST.MARY'S HIGH SCHOOL ARIYALUR,Ponnusamy aranmanai street Ariyalur,621704,
109,ARIYALUR,Ariyalur,THE ADITYA BIRLA MATRICULATION SCHOOL REDDIPALAYAM,THE ADITYA BIRLA MATRICULATION SCHOOL REDDIPALAYAM ARIYALUR TK & DT,621731,
110,ARIYALUR,Ariyalur,VENUS MATRICULATION HIGH SCHOOL ARIYALUR,63JI KAMARAJ NAGAR V th CROSS ARIYALURS63JI KAMARAJ NAGAR Vth CROSS ARIYALUR,621713,
111,ARIYALUR,Ariyalur,VIDHYA MANDIR PUBLIC SCHOOL THAMARAIKULAM,SENDURAI ROADTHAMARAIKULAM,621705,
112,ARIYALUR,Ariyalur,VINAYAGA PUBLIC SCHOOL MELAKARUPPUR,vinayagapublic school Mellakarupur Mellakarupur,621704,
113,ARIYALUR,Jayankondam,ANNAI TERESA MATRICULATION SCHOOL JAYANKONDAM,Jayankondam\Sendurai Road Near Bus Depot,621802,
